ID,XS_WQ,Gconstituent [1],Gconstituent [2],Gconstituent [3],Gconstituent [4],Gconstituent [5],Gconstituent [6],NH4,NO3,TIP,OrgP,DO,Alk,CBOD[1],Suspended Solid[1],Water Temperature
Rio 116,655016,76.81,25,0.03,0.482,0.1,0.001,1,0.271,0.071,0.0926,7.435,40.7,2,41.5,24.8
VERT_FONSECA,652887,850,600,0.15,1,0.1,0.05,35,0.5,10,3,0.5,300,250,250,27
VERT_BARRANCAS,610236,850,600,0.15,1,0.1,0.05,35,0.5,10,3,0.5,300,250,250,27
ARRQUAB,603675,411.6,25,0.1,0.1,0.1,0.001,1,1.084,0.123,0.323,7.128,197.3,2,180,26.9
ARRPALO,600394,343,25,0.1,0.307,0.1,0.001,1,0.364,0.104,0.183,8.494,202.96,2,69.6,26.7
VERT_ALBANIA,561024,850,600,0.15,1,0.1,0.05,35,0.5,10,3,0.5,300,250,250,27
LAG831S,547900,646.5,25,0.1,1.972,0.1,0.001,1,0.822,0.05,0.108,7.058,46.4,2,49.7,30.87
ARRPALA,534777,398.6,25,0.1,6.77,0.1,0.001,1,1.572,0.114,0.186,8.359,211.9,2.27,93.5,29
LAG831N,533265,1704,25,0.1,0.66,0.1,0.001,1,0.599,0.05,0.0957,7.669,30.3,2.87,22.8,27.08
ARRCERA,498688,114.2,25,0.1,1.084,0.1,0.001,1.01,0.355,0.07,0.0988,8.111,58.9,4.63,27,31.7
ARRCEQUI,472441,1991,25,0.1,0.397,0.1,0.001,1,0.244,0.05,0.07,7.006,86.7,2.08,23,29.8
ARRCAU,459318,0,0,0,0,0,0,0,0,0,0,6,0,0,0,29
LAGSUR,439633,1620,37.4,0.1,0.362,0.1,0.001,1,0.111,0.05,0.264,5.42,169.3,9.16,17.3,29.8
LAGESTE,433071,2205,19.49,0.1,0.752,0.1,0.001,1.74,0.509,0.05,0.105,6.793,95,7.22,24.3,30.17
VERT_PAPAYAL,426509,850,600,0.15,1,0.1,0.05,35,0.5,10,3,0.5,300,250,250,27
ARRAGBLANCAS,425296,582.7,25,0.1,1.216,0.1,0.001,1.01,1.21,0.079,0.332,7.255,229.7,3.43,323,27.6
ARRTAB,419948,874,25,0.1,0.603,0.1,0.001,1,0.358,0.086,0.177,6.961,239.1,2.82,48.29,30.9
ARRBRUA,390420,554.9,25,0.1,0.55,0.1,0.001,1,0.126,0.05,0.155,7.693,240.1,3.9,14.3,32.5
