ID,XS,GConstituent[1] (),GConstituent[2] (),GConstituent[3] (),GConstituent[4] (),GConstituent[5] (),GConstituent[6] (),NH4 (),NO3 (),TIP (),OrgP (),DO (),Alk (),CBOD[1] (),Suspended Solid[1] (),Water Temperature ()
RIO 119,632513,135.9,25,0.03,0.821,0.1,0.001,1,0.277,0.095,0.0988,7.681,71.9,2.56,32,26.3
RIO 112,571715,288.9,25,0.03,0.809,0.1,0.001,1,0.376,0.147,0.223,7.778,121.1,2.76,125,29.8
RIO 113,562735,301.4,25,0.03,0.685,0.1,0.001,1,0.765,0.159,0.226,6.437,114.8,2.36,120,28
RIO 114,550328,337.9,25,0.03,0.843,0.1,0.001,1,0.587,0.144,0.32,6.859,144.1,2,191,30
RIO 115,512128,340.6,25,0.03,0.89,0.1,0.001,1,0.948,0.173,0.372,7.891,146.2,3.83,309,32
RIO 102,500395,359.8,25,0.03,1.207,0.1,0.001,1,1.036,0.161,0.363,6.916,144.1,2,250,30.2
RIO 109,384459,431.1,25,0.03,0.856,0.1,0.001,1,1,0.187,0.537,7.928,135.7,6.43,680,33.3
RIO 106,435638,373.5,25,0.03,2,0.1,0.001,1,0.454,0.132,0.757,7.966,128.4,5.7,1150,34
RIO 103,484792,241.3,25,0.03,1.615,0.1,0.001,1,0.828,0.2,0.789,6.537,97.3,2,1268,27
RIO 107,413890,405.8,25,0.03,1.737,0.1,0.001,1,0.747,0.139,0.91,6.815,101.3,2,1612,31.2
